channel1,channel2
-9.73,-9.73
-9.13,-9.13
-9.29,-9.29
-9.69,-9.69
-9.84,-9.84
-10.23,-10.23
-10.37,-10.37
-10.25,-10.25
-9.89,-9.89
-9.02,-9.02
-7.67,-7.67
-5.82,-5.82
-4.24,-4.24
-4.18,-4.18
-5.37,-5.37
-7.04,-7.04
-7.7,-7.7
-6.84,-6.84
-5.0,-5.0
-4.42,-4.42
-6.35,-6.35
-10.76,-10.76
-15.63,-15.63
-19.2,-19.2
-21.23,-21.23
-22.24,-22.24
-21.74,-21.74
-20.24,-20.24
-18.0,-18.0
-15.78,-15.78
-13.83,-13.83
-12.39,-12.39
-10.47,-10.47
-9.05,-9.05
-8.91,-8.91
-10.51,-10.51
-12.84,-12.84
-14.66,-14.66
-14.7,-14.7
-12.74,-12.74
-9.8,-9.8
-6.88,-6.88
-4.74,-4.74
-3.87,-3.87
-4.0,-4.0
-5.38,-5.38
-7.0,-7.0
-9.1,-9.1
-10.69,-10.69
-11.25,-11.25
-10.81,-10.81
-9.38,-9.38
-7.2,-7.2
-5.29,-5.29
-4.4,-4.4
-4.77,-4.77
-5.87,-5.87
-6.48,-6.48
-5.83,-5.83
-2.67,-2.67
2.2,2.2
8.02,8.02
13.8,13.8
19.27,19.27
23.93,23.93
27.3,27.3
30.13,30.13
31.93,31.93
33.72,33.72
34.73,34.73
34.47,34.47
33.22,33.22
31.21,31.21
28.73,28.73
25.51,25.51
21.32,21.32
15.91,15.91
11.05,11.05
7.48,7.48
6.19,6.19
6.17,6.17
6.64,6.64
6.11,6.11
4.58,4.58
2.82,2.82
1.07,1.07
-0.67,-0.67
-3.13,-3.13
-6.08,-6.08
-8.75,-8.75
-10.64,-10.64
-11.51,-11.51
-11.12,-11.12
-9.98,-9.98
-8.36,-8.36
-6.99,-6.99
-5.89,-5.89
-5.3,-5.3
-5.21,-5.21
-5.12,-5.12
-5.54,-5.54
-5.94,-5.94
-6.09,-6.09
-6.24,-6.24
-6.39,-6.39
-7.04,-7.04
-7.68,-7.68
-8.56,-8.56
-8.93,-8.93
-8.8,-8.8
-9.41,-9.41
-11.27,-11.27
-14.37,-14.37
-17.68,-17.68
-19.21,-19.21
-18.22,-18.22
-16.23,-16.23
-14.77,-14.77
-15.31,-15.31
-16.85,-16.85
-18.12,-18.12
-18.63,-18.63
-18.38,-18.38
-17.37,-17.37
-15.63,-15.63
-13.65,-13.65
-12.68,-12.68
-13.23,-13.23
-14.26,-14.26
-15.53,-15.53
-16.29,-16.29
-17.29,-17.29
-18.78,-18.78
-21.25,-21.25
-23.7,-23.7
-24.87,-24.87
-24.02,-24.02
-22.18,-22.18
-19.6,-19.6
-17.05,-17.05
-15.01,-15.01
-13.49,-13.49
-13.73,-13.73
-14.72,-14.72
-15.95,-15.95
-16.16,-16.16
-15.12,-15.12
-13.59,-13.59
-11.81,-11.81
-10.3,-10.3
-8.56,-8.56
-6.83,-6.83
-5.86,-5.86
-6.65,-6.65
-8.44,-8.44
-9.96,-9.96
-9.21,-9.21
-6.46,-6.46
-2.74,-2.74
0.95,0.95
3.35,3.35
4.48,4.48
4.1,4.1
3.22,3.22
2.1,2.1
0.74,0.74
-0.86,-0.86
-3.2,-3.2
-5.51,-5.51
-7.05,-7.05
-7.07,-7.07
-6.35,-6.35
-6.12,-6.12
-6.16,-6.16
-5.93,-5.93
-4.96,-4.96
-3.5,-3.5
-2.55,-2.55
-2.36,-2.36
-2.17,-2.17
-0.49,-0.49
3.44,3.44
7.32,7.32
9.92,9.92
10.0,10.0
8.32,8.32
6.9,6.9
6.0,6.0
5.61,5.61
5.22,5.22
5.08,5.08
4.69,4.69
4.3,4.3
3.42,3.42
1.79,1.79
-0.32,-0.32
-0.66,-0.66
0.5,0.5
2.91,2.91
3.79,3.79
2.4,2.4
-0.46,-0.46
-3.55,-3.55
-4.87,-4.87
-4.17,-4.17
